date,mentions,
19-Oct-16,52,652
20-Oct-16,50,653
21-Oct-16,38,654
22-Oct-16,15,655
23-Oct-16,22,656
24-Oct-16,88,657
25-Oct-16,77,658
26-Oct-16,40,659
27-Oct-16,44,660
28-Oct-16,75,661
29-Oct-16,28,662
30-Oct-16,18,663
31-Oct-16,97,664
1-Nov-16,56,665
2-Nov-16,28,666
3-Nov-16,36,667
4-Nov-16,38,668
5-Nov-16,12,669
6-Nov-16,18,670
7-Nov-16,34,671
8-Nov-16,41,672
9-Nov-16,49,673
10-Nov-16,35,674
11-Nov-16,38,675
12-Nov-16,19,676
13-Nov-16,24,677
14-Nov-16,40,678
15-Nov-16,47,679
16-Nov-16,89,680
17-Nov-16,38,681
18-Nov-16,43,682
19-Nov-16,15,683
20-Nov-16,14,684
21-Nov-16,59,685
22-Nov-16,61,686
23-Nov-16,61,687
24-Nov-16,36,688
25-Nov-16,44,689
26-Nov-16,31,690
27-Nov-16,16,691
28-Nov-16,53,692
29-Nov-16,49,693
30-Nov-16,56,694
1-Dec-16,73,695
2-Dec-16,48,696
3-Dec-16,18,697
4-Dec-16,13,698
5-Dec-16,40,699
6-Dec-16,85,700
7-Dec-16,57,701
8-Dec-16,49,702
9-Dec-16,36,703
10-Dec-16,15,704
11-Dec-16,28,705
12-Dec-16,31,706
13-Dec-16,67,707
14-Dec-16,46,708
15-Dec-16,36,709
16-Dec-16,31,710
17-Dec-16,15,711
18-Dec-16,18,712
19-Dec-16,40,713
20-Dec-16,51,714
21-Dec-16,62,715
22-Dec-16,49,716
23-Dec-16,39,717
24-Dec-16,17,718
25-Dec-16,21,719
26-Dec-16,31,720
27-Dec-16,36,721
28-Dec-16,44,722
29-Dec-16,21,723
30-Dec-16,21,724
31-Dec-16,18,725
1-Jan-17,19,726
2-Jan-17,63,727
3-Jan-17,72,728
4-Jan-17,56,729
5-Jan-17,86,730
6-Jan-17,102,731
7-Jan-17,33,732
8-Jan-17,16,733
9-Jan-17,99,734
10-Jan-17,76,735
11-Jan-17,154,736
12-Jan-17,169,737
13-Jan-17,69,738
14-Jan-17,26,739
15-Jan-17,35,740
16-Jan-17,55,741
17-Jan-17,79,742
18-Jan-17,87,743
19-Jan-17,74,744
20-Jan-17,59,745
21-Jan-17,25,746
22-Jan-17,16,747
23-Jan-17,51,748
24-Jan-17,44,749
25-Jan-17,38,750
26-Jan-17,61,751
27-Jan-17,105,752
28-Jan-17,30,753
29-Jan-17,26,754
30-Jan-17,52,755
31-Jan-17,42,756
1-Feb-17,49,757
2-Feb-17,76,758
3-Feb-17,61,759
4-Feb-17,13,760
5-Feb-17,13,761
6-Feb-17,60,762
7-Feb-17,77,763
8-Feb-17,98,764
9-Feb-17,76,765
10-Feb-17,72,766
11-Feb-17,53,767
12-Feb-17,14,768
13-Feb-17,66,769
14-Feb-17,63,770
15-Feb-17,59,771
16-Feb-17,40,772
17-Feb-17,32,773
18-Feb-17,31,774
19-Feb-17,22,775
20-Feb-17,29,776
21-Feb-17,56,777
22-Feb-17,66,778
23-Feb-17,80,779
24-Feb-17,92,780
25-Feb-17,30,781
26-Feb-17,32,782
27-Feb-17,82,783
28-Feb-17,136,784
1-Mar-17,80,785
2-Mar-17,69,786
3-Mar-17,109,787
4-Mar-17,26,788
5-Mar-17,34,789
6-Mar-17,105,790
7-Mar-17,69,791
8-Mar-17,64,792
9-Mar-17,97,793
10-Mar-17,181,794
11-Mar-17,157,795
12-Mar-17,34,796
13-Mar-17,78,797
14-Mar-17,44,798
15-Mar-17,46,799
16-Mar-17,59,800
17-Mar-17,73,801
18-Mar-17,20,802
19-Mar-17,26,803
20-Mar-17,123,804
21-Mar-17,57,805
22-Mar-17,60,806
23-Mar-17,38,807
24-Mar-17,64,808
25-Mar-17,19,809
26-Mar-17,27,810
27-Mar-17,30,811
28-Mar-17,41,812
29-Mar-17,57,813
30-Mar-17,70,814
31-Mar-17,40,815
1-Apr-17,12,816
2-Apr-17,13,817
3-Apr-17,18,818
